accession	description	tax_id
AY340291	Drosophila americana pop-variant NN00.07X alcohol dehydrogenase (Adh) gene, partial cds.	40366
AF136652	Drosophila americana americana D.am-.6X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136655	Drosophila americana americana D.am-.7X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AY340293	Drosophila americana pop-variant DN00.01Y alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340297	Drosophila americana pop-variant DN01.02Y alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340298	Drosophila americana pop-variant DN01.03Y alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340304	Drosophila americana pop-variant NN00.03Y alcohol dehydrogenase (Adh) gene, partial cds.	40366
U76479	Drosophila mulleri strain -1371.1 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7231
AY695384	Drosophila arawakana alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.	30017
AY044130	Drosophila formosana alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	157056
AY154862	Drosophila arizonae strain ARTU 35 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263
AY154849	Drosophila arizonae strain AR00 13 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263
AY154851	Drosophila arizonae strain AR00 1 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263
AY154848	Drosophila arizonae strain AR00 6 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263
AY154859	Drosophila arizonae strain ARTU 22 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263
AY695388	Drosophila dunni strain St. Croix alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.	133979
AY154866	Drosophila mojavensis strain MJBC 35.1 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230
AY154865	Drosophila mojavensis strain MJBC 33.3 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230
AY154828	Drosophila mojavensis strain MJBC 33.3 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230
AY154839	Drosophila mojavensis strain MJBC 205.1 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230
EF136977	Drosophila americana isolate FP99.27 Adh (Adh) gene, partial cds.	40366
EF136982	Drosophila americana isolate HI99.31 Adh (Adh) gene, partial cds.	40366
EF137002	Drosophila americana isolate IR04.12 Adh (Adh) gene, partial cds.	40366
EF136979	Drosophila americana isolate HI99.03 Adh (Adh) gene, partial cds.	40366
EF136974	Drosophila americana isolate FP99.85 Adh (Adh) gene, partial cds.	40366
EF136989	Drosophila americana isolate SB02.02 Adh (Adh) gene, partial cds.	40366
EF136998	Drosophila americana isolate SB02.11 Adh (Adh) gene, partial cds.	40366
MN267997	Drosophila subquinaria isolate S_PO_21 ADH-related protein (ADH-R) gene, partial cds.	198725
MN267975	Drosophila recens isolate R_NB_7 ADH-related protein (ADH-R) gene, partial cds.	55946
MN267993	Drosophila subquinaria isolate S_MS_18 ADH-related protein (ADH-R) gene, partial cds.	198725
MN267999	Drosophila subquinaria isolate S_PO_84 ADH-related protein (ADH-R) gene, partial cds.	198725
MN267968	Drosophila recens isolate R_HI_45 ADH-related protein (ADH-R) gene, partial cds.	55946
MN267974	Drosophila recens isolate R_NB_6 ADH-related protein (ADH-R) gene, partial cds.	55946
MN268007	Drosophila transversa isolate T_UP_3 ADH-related protein (ADH-R) gene, partial cds.	193351
MN267987	Drosophila subquinaria isolate S_HI_26 ADH-related protein (ADH-R) gene, partial cds.	198725
MN267995	Drosophila subquinaria isolate S_MS_4 ADH-related protein (ADH-R) gene, partial cds.	198725
MN267970	Drosophila recens isolate R_KA_174 ADH-related protein (ADH-R) gene, partial cds.	55946
MN267996	Drosophila subquinaria isolate S_PO_101 ADH-related protein (ADH-R) gene, partial cds.	198725
MN267979	Drosophila recens isolate R_NY_18 ADH-related protein (ADH-R) gene, partial cds.	55946
MN267990	Drosophila subquinaria isolate S_KA_175 ADH-related protein (ADH-R) gene, partial cds.	198725
U65746	Drosophila buzzatii alcohol dehydrogenase (Adh-P) pseudogene, and alcohol dehydrogenase 2 (Adh-2) and alcohol dehydrogenase 1 (Adh-1) genes, complete cds.	7264
AJ005667	Drosophila virilis ADH gene, partial	7244
M37276	Drosophila mojavensis alcohol dehydrogenase-2 (Adh-2) and alcohol dehydrogenase-1 (Adh-1) genes, complete cds.	7230
AY081440	Drosophila tripunctata alcohol dehydrogenase (Adh) gene, partial cds.	141217
AY750123	Drosophila melanica alcohol dehydrogenase (Adh) gene, partial cds.	7252
AY750132	Drosophila euronotus alcohol dehydrogenase (Adh) gene, partial cds.	55945
AY750144	Drosophila medioconstricta alcohol dehydrogenase (Adh) gene, partial cds.	311480
DQ471630	Drosophila barutani alcohol dehydrogenase (Adh) gene, partial cds.	381452
AY750118	Drosophila longiserrata alcohol dehydrogenase (Adh) gene, partial cds.	311474
DQ471667	Drosophila repleta alcohol dehydrogenase (Adh) gene, partial cds.	30043
U26839	Drosophila borealis alcohol dehydrogenase (Adh) gene, complete cds.	40368
AF059889	Drosophila melanica alcohol dehydrogenase (Adh) gene, partial cds.	7252
AY750116	Drosophila lacertosa alcohol dehydrogenase (Adh) gene, partial cds.	119604
AY750127	Drosophila paramelanica alcohol dehydrogenase (Adh) gene, partial cds.	311477
AY750130	Drosophila neokadai alcohol dehydrogenase (Adh) gene, partial cds.	311476
AY750136	Drosophila okadai alcohol dehydrogenase (Adh) gene, partial cds.	311481
DQ471655	Drosophila americana alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY750139	Drosophila sordidula alcohol dehydrogenase (Adh) gene, partial cds.	55950
DQ471659	Drosophila eohydei alcohol dehydrogenase (Adh) gene, partial cds.	54075
DQ471661	Drosophila kanekoi alcohol dehydrogenase (Adh) gene, partial cds.	50033
OP168391	Drosophila bromeliae isolate Dbm_Ah Adh gene, partial cds.	7278
OP168475	Drosophila bromeliae isolate Dbm_4610 Adh gene, partial cds.	7278
AB261136	Drosophila pallidifrons Adh gene for alcohol dehydrogenase, partial cds.	88884
AB932648	Drosophila bizonata Adh gene for alcohol dehydrogenase, partial cds.	188282
AB932646	Drosophila angularis Adh gene for alcohol dehydrogenase, partial cds.	309934
AB932662	Drosophila multispina Adh gene for alcohol dehydrogenase, partial cds.	1503162
U26842	Drosophila montana alcohol dehydrogenase (Adh-1) gene, complete cds.	40370
AB033644	Drosophila brachynephros Adh mRNA for alcohol dehydrogenase, partial cds.	106246
AB261135	Drosophila siamana Adh gene for alcohol dehydrogenase, partial cds.	157059
AB932664	Drosophila nigromaculata Adh gene for alcohol dehydrogenase, partial cds.	198721
AB932678	Drosophila transversa Adh gene for alcohol dehydrogenase, partial cds.	193351
AB932679	Drosophila tripunctata Adh gene for alcohol dehydrogenase, partial cds.	141217
AB932680	Drosophila unispina Adh gene for alcohol dehydrogenase, partial cds.	193352
AY156525	Drosophila navojoa alcohol dehydrogenase 2 (adh-2) gene, complete cds.	7232
AY095943	Drosophila curvispina isolate cur3 alcohol dehydrogenase (Adh) gene, partial cds.	126591
DQ471613	Drosophila angor strain B123 alcohol dehydrogenase (Adh) gene, partial cds.	381448
DQ471644	Drosophila barutani strain 178 alcohol dehydrogenase (Adh) gene, partial cds.	381452
DQ471653	Drosophila kanekoi strain 248 alcohol dehydrogenase (Adh) gene, partial cds.	50033
DQ471654	Drosophila tsigana strain JP275 alcohol dehydrogenase (Adh) gene, partial cds.	65966
DQ471628	Drosophila angor strain Taiwan alcohol dehydrogenase (Adh) gene, partial cds.	381448
AY095938	Drosophila transversa isolate tra2 alcohol dehydrogenase (Adh) gene, partial cds.	193351
MK017201	UNVERIFIED: Drosophila angularis adh-related-like (Adhr) gene, partial sequence.	309934
AF136695	Drosophila americana americana G96.14Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
LC057782	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: MMY1.	7291
LC057784	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: TAK2.	7291
LC057786	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: TSN7.	7291
AF136661	Drosophila americana americana G96.48X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136667	Drosophila americana americana G96.33X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136668	Drosophila americana americana G96.21X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136699	Drosophila americana texana LP97.01 alcohol dehydrogenase (Adh) gene, partial cds.	40372
LC057774	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: CM137.	7291
